distro,package,version,modified_date
edge,datefudge-doc,1.24-r2,2023-01-22
edge,lua5.3-microlight,1.1.1-r4,2021-11-18
edge,dtach-doc,0.9-r4,2023-01-22
edge,gcr-lang,3.41.1-r1,2022-10-01
edge,lua5.2-file-magic,0.2-r3,2021-01-18
edge,bubblewrap-bash-completion,0.8.0-r0,2023-03-01
edge,slang-doc,2.3.3-r0,2022-08-14
edge,rpcbind,1.2.6-r1,2022-10-14
edge,perl-socket6-doc,0.29-r7,2022-12-31
edge,mcookie,2.38.1-r5,2023-02-22
edge,liblksctp,1.0.19-r2,2023-03-08
edge,py3-sphinxcontrib-qthelp,1.0.3-r5,2023-03-02
edge,net-snmp-dev,5.9.3-r2,2023-01-15
edge,attr-dev,2.5.1-r3,2023-01-14
edge,augeas-dev,1.12.0-r2,2023-01-14
edge,libmilter,1.0.2-r8,2022-10-20
edge,strace-doc,6.2-r0,2023-02-27
edge,bluez-hid2hci,5.66-r3,2023-03-24
edge,perl-devel-checklib,1.16-r1,2022-12-31
edge,knot-dev,3.2.5-r2,2023-04-03
edge,subunit-dev,1.4.2-r2,2023-04-11
edge,rtpproxy-openrc,2.1.1-r1,2022-10-24
edge,bind-doc,9.18.13-r0,2023-03-16
edge,freeswitch-sounds-ru-RU-elena-32000,1.0.12-r3,2023-01-31
edge,openldap-overlay-deref,2.6.4-r1,2023-04-04
edge,perl-html-quoted,0.04-r2,2020-09-21
edge,cyrus-sasl-gssapiv2,2.1.28-r3,2022-11-06
edge,perl-syntax-keyword-try-doc,0.28-r1,2023-02-08
edge,perl,5.36.0-r1,2023-04-11
edge,xen-libs,4.17.0-r2,2023-02-21
edge,lua5.3-lzlib,0.4.3-r1,2021-01-14
edge,sysfsutils-doc,2.1.1-r1,2022-10-24
edge,iptables-dev,1.8.9-r0,2023-01-13
edge,lm-sensors-dev,3.6.0-r4,2022-09-19
edge,rng-tools,6.15-r2,2023-02-11
edge,openvpn,2.6.2-r0,2023-03-25
edge,syslog-ng-amqp,4.1.1-r0,2023-03-11
edge,linux-firmware-meson,20230404-r0,2023-04-05
edge,libgcrypt,1.10.2-r0,2023-04-07
edge,gnupg-keyboxd,2.4.0-r1,2023-02-07
edge,boost1.81-static,1.81.0-r1,2022-12-23
edge,lua5.3-md5,1.3-r1,2021-01-14
edge,libpcre2-16,10.42-r0,2022-12-12
edge,lighttpd-openrc,1.4.69-r0,2023-02-11
edge,perl-module-refresh-doc,0.18-r1,2022-12-31
edge,perl-data-guid-doc,0.051-r0,2023-01-02
edge,perl-tk,804.036-r2,2022-06-08
edge,font-sun-misc,1.0.4-r0,2023-02-28
edge,perl-b-cow-doc,0.007-r0,2022-10-22
edge,quagga-doc,1.2.4-r6,2022-10-24
edge,drbd-utils,9.23.1-r0,2023-03-23
edge,bzip2-dev,1.0.8-r4,2022-11-14
edge,acl-static,2.3.1-r2,2023-04-11
edge,ngrep,1.47-r2,2022-10-14
edge,opensp,1.5.2-r2,2022-10-14
edge,mariadb-openrc,10.11.2-r4,2023-02-19
edge,lua5.4-unit,3.4-r0,2022-02-24
edge,perl-params-validationcompiler,0.31-r0,2023-01-22
edge,libnetfilter_queue,1.0.5-r1,2021-09-05
edge,xkbcomp-dev,1.4.6-r0,2022-12-08
edge,ncurses-libs,6.4_p20230401-r2,2023-04-09
edge,nginx-mod-http-brotli,1.22.1-r0,2022-10-19
edge,perl-mailtools-doc,2.21-r3,2022-12-31
edge,graphite2-static,1.3.14-r4,2023-02-12
edge,giflib-dev,5.2.1-r3,2023-03-12
edge,lua5.4-ldap,1.3.1-r0,2023-03-21
edge,nano-syntax,7.2-r0,2023-01-18
edge,czmq-static,4.2.1-r2,2022-04-09
edge,perl-http-body,1.22-r1,2020-09-21
edge,subversion-yash-completion,2.54-r0,2023-03-08
edge,py3-mimeparse,1.6.0-r6,2022-11-22
edge,guile,3.0.8-r3,2022-10-17
edge,freetds,1.3.18-r0,2023-04-02
edge,lua5.2-evdev,2.2.1-r2,2022-08-06
edge,openldap-overlay-dynlist,2.6.4-r1,2023-04-04
edge,joe,4.6-r3,2023-02-19
edge,font-adobe-75dpi,1.0.4-r0,2023-02-28
edge,pgtcl-doc,3.0.0-r0,2022-07-29
edge,lua5.2-sec,1.3.1-r0,2023-03-21
edge,perl-posix-strftime-compiler-doc,0.44-r0,2021-04-03
edge,kbd-bkeymaps,2.5.1-r6,2023-02-16
edge,linux-firmware-dpaa2,20230404-r0,2023-04-05
edge,nload,0.7.4-r4,2022-08-06
edge,perl-test-tcp,2.22-r2,2022-12-31
edge,perl-tree-dag_node-doc,1.32-r0,2021-02-02
edge,libice-static,1.1.1-r0,2022-12-08
edge,libcap-ng-doc,0.8.3-r2,2023-02-25
edge,pcsc-lite,1.9.9-r1,2023-03-13
edge,lua5.4-file-magic,0.2-r3,2021-01-18
edge,perl-cache-cache,1.08-r4,2022-12-31
edge,perl-params-classify,0.015-r7,2022-12-31
edge,psmisc-lang,23.6-r1,2022-12-14
edge,font-linux-libertine,5.3.0-r3,2023-01-31
edge,usb-modeswitch-udev,2.6.1-r1,2022-10-14
edge,lua5.1-lzmq,0.4.4-r4,2022-10-14
edge,mpfr-dev,4.2.0-r0,2023-01-07
edge,dropbear-convert,2022.83-r0,2022-11-15
edge,ruby-google-protobuf,3.21.12-r0,2022-12-15
edge,ruby-typeprof-doc,0.21.4-r0,2023-01-26
edge,razor-doc,2.85-r13,2022-10-14
edge,perl-crypt-eksblowfish,0.009-r11,2022-12-31
edge,dovecot-sqlite,2.3.20-r8,2023-03-13
edge,ppp-l2tp,2.5.0-r1,2023-04-06
edge,utmps-dev,0.1.2.1-r0,2023-01-14
edge,uwsgi-logcrypto,2.0.21-r1,2022-11-22
edge,sipp,3.7.0-r0,2023-04-03
edge,gpgsm,2.4.0-r1,2023-02-07
edge,mpg123-doc,1.31.3-r0,2023-03-20
edge,hunspell-en-doc,2020.12.07-r1,2023-02-05
edge,lua5.2-openrc,0.2-r4,2021-01-14
edge,dovecot-pigeonhole-plugin,2.3.20-r8,2023-03-13
edge,openjade-doc,1.3.2-r7,2022-10-14
edge,lua5.2-sql-sqlite3,2.6.0-r2,2022-11-11
edge,curl-dev,8.0.1-r1,2023-04-03
edge,libaio-dev,0.3.113-r0,2022-08-24
edge,nginx-mod-http-redis2,1.22.1-r0,2022-10-19
edge,aspell-utils,0.60.8-r4,2023-01-14
edge,perl-test-notabs,2.02-r2,2020-09-21
edge,git-daemon-openrc,2.40.0-r0,2023-03-13
edge,musl-fts,1.2.7-r3,2022-08-29
edge,linux-firmware-slicoss,20230404-r0,2023-04-05
edge,hdparm,9.65-r1,2023-03-10
edge,gperf,3.1-r3,2022-08-06
edge,lxc-templates-oci,5.0.2-r0,2023-01-17
edge,termrec-dev,0.19-r1,2022-10-24
edge,agetty,2.38.1-r5,2023-02-22
edge,curl-dbg,8.0.1-r1,2023-04-03
edge,openldap-overlay-rwm,2.6.4-r1,2023-04-04
edge,lua5.4-rex-posix,2.9.1-r2,2023-01-09
edge,lvm2-libs,2.03.20-r2,2023-03-23
edge,nagios-plugins-radius,2.4.2-r0,2022-11-09
edge,chrony-openrc,4.3-r2,2023-03-04
edge,nginx-mod-http-nchan,1.22.1-r0,2022-10-19
edge,perl-cpanel-json-xs-doc,4.36-r0,2023-03-03
edge,rsyslog-pmlastmsg,8.2302.0-r1,2023-03-06
edge,perl-text-csv,2.02-r0,2022-08-09
edge,libde265-dev,1.0.11-r1,2023-03-29
edge,lua5.1-sec,1.3.1-r0,2023-03-21
edge,libgmpxx,6.2.1-r2,2022-04-11
edge,lld,16.0.1-r0,2023-04-05
edge,at-spi2-core-dev,2.48.0-r0,2023-03-21
edge,dash-doc,0.5.12-r1,2023-01-22
edge,perl-encode-hanextra-doc,0.23-r9,2022-12-31
edge,gdk-pixbuf-dbg,2.42.10-r3,2023-02-04
edge,lua5.4-curl,0.3.13-r0,2021-03-01
edge,libnfnetlink-static,1.0.2-r1,2023-02-02
edge,perl-data-hexdump,0.04-r0,2021-04-04
edge,pango-tools,1.50.14-r0,2023-03-02
edge,linux-firmware-rtw88,20230404-r0,2023-04-05
edge,font-adobe-75dpi-doc,1.0.4-r0,2023-02-28
edge,hunspell-dev,1.7.2-r2,2023-02-26
edge,cvechecker,4.0-r3,2023-01-20
edge,mkfontscale,1.2.2-r1,2022-06-10
edge,perl-cps-doc,0.19-r4,2022-12-31
edge,pam-winbind,4.18.1-r0,2023-03-30
edge,libxcb,1.15-r0,2022-05-10
edge,lua-optarg,0.3-r0,2022-03-14
edge,libedit-static,20221030.3.1-r0,2022-11-08
edge,libsamplerate-dev,0.2.2-r1,2023-02-26
edge,perl-convert-uulib,1.8-r0,2022-10-11
edge,procps-ng-lang,4.0.3-r0,2023-02-25
edge,newt-dev,0.52.23-r0,2023-01-13
edge,lz4-doc,1.9.4-r1,2022-08-30
edge,clang16,16.0.1-r0,2023-04-05
edge,linux-pam-dev,1.5.2-r9,2023-03-31
edge,s6-networking,2.5.1.3-r0,2023-02-17
edge,intel-ucode,20230214-r0,2023-02-15
edge,freeradius-python3,3.0.26-r1,2023-01-18
edge,liburing-doc,2.3-r1,2023-02-26
edge,curl-static,8.0.1-r1,2023-04-03
edge,kamailio-cpl,5.6.3-r2,2023-02-10
edge,acf-freeswitch-vmail,0.6.2-r4,2021-02-06
edge,portaudio-dev,19.7.0-r0,2021-09-21
edge,perl-eval-closure,0.14-r3,2022-12-31
edge,linux-firmware-myricom,20230404-r0,2023-04-05
edge,udns,0.4-r2,2022-08-06
edge,run-parts-doc,4.11.2-r1,2022-10-24
edge,s6-dns-static,2.3.5.5-r0,2023-01-14
edge,email-doc,3.1.4-r12,2022-08-02
edge,libmenuw,6.4_p20230401-r2,2023-04-09
edge,perl-class-container-doc,0.13-r3,2022-12-31
edge,lua-sql-mysql,2.6.0-r2,2022-11-11
edge,uwsgi-tuntap,2.0.21-r1,2022-11-22
edge,lksctp-tools-doc,1.0.19-r2,2023-03-08
edge,lua-sql,2.6.0-r2,2022-11-11
edge,dhcrelay-openrc,4.4.3_p1-r1,2022-10-30
edge,libsndfile-doc,1.2.0-r1,2023-02-26
edge,openldap-overlay-homedir,2.6.4-r1,2023-04-04
edge,dav1d-dev,1.1.0-r0,2023-02-15
edge,py3-sphinxcontrib-serializinghtml,1.1.5-r4,2023-03-02
edge,libxau,1.0.11-r0,2022-12-08
edge,tiny-cloud-gcp,2.2.2-r0,2023-03-25
edge,valgrind,3.20.0-r0,2022-10-28
edge,binutils-doc,2.40-r3,2023-03-04
edge,haserl-lua5.2,0.9.36-r3,2023-02-05
edge,freeradius-sql,3.0.26-r1,2023-01-18
edge,vim-doc,9.0.1440-r0,2023-04-05
edge,lua5.4-alt-getopt,0.8.0-r0,2021-01-18
edge,libnet-static,1.2-r1,2022-10-24
edge,squid-lang-ko,5.7-r0,2022-10-14
edge,s6-networking-dev,2.5.1.3-r0,2023-02-17
edge,sfic,0.1.7-r8,2022-10-14
edge,check-doc,0.15.2-r2,2023-01-20
edge,rsyslog-mmdblookup,8.2302.0-r1,2023-03-06
edge,aspell-en,2020.12.07-r0,2020-12-08
edge,perl-test-exception,0.43-r3,2022-12-31
edge,zstd-dev,1.5.5-r0,2023-04-05
edge,perl-symbol-global-name-doc,0.05-r4,2022-12-31
edge,perl-universal-isa-doc,1.20171012-r2,2022-12-31
edge,lua5.1-md5,1.3-r1,2021-01-14
edge,perl-mail-spf-doc,2.9.0-r4,2020-09-21
edge,execline,2.9.3.0-r0,2023-04-02
edge,nginx-mod-http-untar,1.22.1-r0,2022-10-19
edge,perl-log-dispatch-doc,2.71-r0,2023-04-07
edge,subversion-dev,1.14.2-r7,2023-02-07
edge,uwsgi-router_basicauth,2.0.21-r1,2022-11-22
edge,linux-firmware-ath9k_htc,20230404-r0,2023-04-05
edge,rgb-doc,1.1.0-r1,2023-03-27
edge,cifs-utils,7.0-r1,2023-01-20
edge,kea-dhcp4,2.2.0-r8,2023-03-12
edge,nginx-mod-http-lua-upstream,1.22.1-r0,2022-10-19
edge,uwsgi-notfound,2.0.21-r1,2022-11-22
edge,libksba-dev,1.6.3-r1,2023-02-25
edge,perl-dist-checkconflicts,0.11-r3,2022-12-31
edge,perl-fcgi,0.82-r1,2022-06-08
edge,build-base,0.5-r3,2022-06-16
edge,gdb-doc,13.1-r5,2023-03-28
edge,which-doc,2.21-r3,2022-10-24
edge,lockfile-progs-doc,0.1.19-r2,2023-03-08
edge,c-ares-utils,1.19.0-r1,2023-03-12
edge,zstd-frugal,1.5.5-r0,2023-04-05
edge,nagios-plugins-disk_smb,2.4.2-r0,2022-11-09
edge,perl-control-x10,2.09-r4,2021-02-27
edge,alpine-baselayout-data,3.4.0-r0,2022-11-04
edge,nagios,4.4.10-r0,2023-01-18
edge,openrc-dev,0.46-r3,2023-03-15
edge,graphicsmagick-zsh-completion,5.9-r0,2022-07-03
edge,gnokii-lang,0.6.31-r13,2022-10-24
edge,libasr-static,1.0.4-r3,2022-08-02
edge,postfix-pgsql,3.7.4-r0,2023-01-23
edge,acf-skins,0.6.0-r3,2021-02-06
edge,perl-path-class,0.37-r3,2022-12-31
edge,perl-ipc-run3-doc,0.048-r2,2020-09-21
edge,xmlrpc-c-client,1.51.08-r1,2022-10-14
edge,mdevd-openrc,0.1.6.2-r0,2023-02-17
edge,libxshmfence,1.3.2-r1,2023-02-28
edge,vanessa_socket-dev,0.0.13-r1,2022-08-06
edge,asterisk-cdr-mysql,18.15.1-r0,2023-03-16
edge,uwsgi-zabbix,2.0.21-r1,2022-11-22
edge,postgresql-common,1.2-r0,2023-03-13
edge,sendpage,1.0.3-r6,2022-08-06
edge,ghostscript-dbg,10.01.1-r0,2023-03-30
edge,perl-xml-parser-doc,2.46-r4,2022-12-31
edge,source-highlight,3.1.9-r8,2022-12-21
edge,lua5.3-pty,1.2.2-r1,2021-01-14
edge,open-iscsi-dev,2.1.8-r1,2023-02-03
edge,ncftp,3.2.6-r5,2022-10-24
edge,zip-doc,3.0-r10,2022-10-24
edge,ifupdown-ng-wifi,0.12.1-r1,2023-01-12
edge,libusb-compat,0.1.8-r0,2022-11-28
edge,libxkbcommon,1.5.0-r0,2023-01-03
edge,libsodium-dev,1.0.18-r2,2022-08-06
edge,readline-doc,8.2.1-r0,2023-03-01
edge,cgdb,0.8.0-r1,2023-01-20
edge,dovecot-mysql,2.3.20-r8,2023-03-13
edge,dialog,1.3.20230209-r0,2023-02-11
edge,uwsgi-sslrouter,2.0.21-r1,2022-11-22
edge,ruby-doc,3.1.4-r0,2023-03-31
edge,acf-alpine-conf,0.9.0-r6,2021-02-06
edge,openldap-doc,2.6.4-r1,2023-04-04
edge,gnupg-doc,2.4.0-r1,2023-02-07
edge,boost1.81-wserialization,1.81.0-r1,2022-12-23
edge,razor,2.85-r13,2022-10-14
edge,tinc-doc,1.0.36-r4,2022-08-02
edge,ca-certificates,20230106-r0,2023-01-08
edge,openssl-dev,3.1.0-r2,2023-03-28
edge,ruby-matrix,0.4.2-r0,2022-04-04
edge,libice-doc,1.1.1-r0,2022-12-08
edge,libwebp-tools,1.3.0-r0,2023-01-14
edge,nagios-plugins-file_age,2.4.2-r0,2022-11-09
edge,ghi-doc,1.2.0-r6,2021-10-18
edge,perl-extutils-pkgconfig-doc,1.16-r4,2022-12-31
edge,uwsgi-legion_cache_fetch,2.0.21-r1,2022-11-22
edge,postfix-redis,3.7.4-r0,2023-01-23
edge,espeak,1.48.04-r4,2023-01-24
edge,haveged-doc,1.9.18-r0,2022-04-10
edge,acf-gross,0.6.0-r4,2021-02-06
edge,lua5.2,5.2.4-r11,2022-12-31
edge,lua5.2-filesize,0.1.1-r2,2021-01-14
edge,nagios-plugins-nagios,2.4.2-r0,2022-11-09
edge,nginx-mod-http-set-misc,1.22.1-r0,2022-10-19
edge,perl-module-pluggable-doc,5.2-r3,2022-12-31
edge,popt,1.19-r1,2022-12-26
edge,texinfo,7.0.3-r0,2023-03-26
edge,gst-plugins-base-doc,1.22.1-r0,2023-03-04
edge,linux-firmware-wfx,20230404-r0,2023-04-05
edge,lua5.3-libs,5.3.6-r4,2022-08-06
edge,perl-mime-types,2.24-r0,2023-01-22
edge,gsm,1.0.22-r2,2023-02-04
edge,samba-winbind-krb5-locator,4.18.1-r0,2023-03-30
edge,valgrind-dev,3.20.0-r0,2022-10-28
edge,ruby-rexml-doc,3.2.5-r2,2022-04-04
edge,lua5.4-mosquitto,0.4.1-r1,2022-04-04
edge,boost1.81-system,1.81.0-r1,2022-12-23
edge,perl-data-page-pageset,1.02-r4,2022-12-31
edge,perl-dist-checkconflicts-doc,0.11-r3,2022-12-31
edge,py3-olefile,0.46-r7,2022-11-22
edge,gengetopt-doc,2.23-r1,2022-08-06
edge,libpcrecpp,8.45-r2,2022-01-29
edge,rng-tools-openrc,6.15-r2,2023-02-11
edge,rrdtool-cached,1.8.0-r0,2023-01-15
edge,lm-sensors-sensord,3.6.0-r4,2022-09-19
edge,uwsgi-stats_pusher_socket,2.0.21-r1,2022-11-22
edge,lddtree,1.27-r0,2023-01-23
edge,neon-doc,0.32.5-r0,2023-01-22
edge,openssh-server-common,9.3_p1-r1,2023-03-22
edge,mandoc,1.14.6-r6,2022-09-16
edge,perl-net-ip,1.26-r4,2022-10-24
edge,nagios-plugins-ups,2.4.2-r0,2022-11-09
edge,perl-socket-getaddrinfo-doc,0.22-r4,2022-10-24
edge,bluez-plugins,5.66-r3,2023-03-24
edge,linux-firmware-emi26,20230404-r0,2023-04-05
edge,perl-namespace-autoclean,0.29-r2,2020-09-21
edge,py3-filelock,3.8.2-r0,2022-12-27
edge,perl-xs-parse-keyword,0.32-r0,2023-02-08
edge,nftables-openrc,1.0.7-r0,2023-03-14
edge,pspg,5.7.4-r0,2023-02-19
edge,freeradius,3.0.26-r1,2023-01-18
edge,linux-virt,6.1.23-r0,2023-04-07
edge,lm-sensors-fancontrol-openrc,3.6.0-r4,2022-09-19
edge,fuse3-libs,3.14.1-r0,2023-03-26
edge,hiredis-ssl,1.1.0-r1,2023-01-18
edge,mbedtls-static,2.28.3-r0,2023-03-30
edge,perl-log-any-doc,1.714-r0,2023-03-21
edge,vulkan-headers,1.3.243.0-r0,2023-04-01
edge,perl-net-rblclient,0.5-r6,2022-10-24
edge,perl-apparmor,3.1.3-r0,2023-03-01
edge,libidn2-static,2.3.4-r0,2022-10-24
edge,bdftopcf,1.1.1-r1,2023-03-09
edge,binutils,2.40-r3,2023-03-04
edge,apache2-ssl,2.4.57-r0,2023-04-08
edge,radvd-doc,2.19-r2,2022-04-19
edge,samba-libs,4.18.1-r0,2023-03-30
edge,libltdl,2.4.7-r1,2023-02-07
edge,lua5.1,5.1.5-r11,2022-05-22
edge,libevent-static,2.1.12-r5,2022-08-02
edge,sc,7.16-r6,2022-07-26
edge,libasr-dbg,1.0.4-r3,2022-08-02
edge,perl-encode-locale,1.05-r3,2020-09-21
edge,libxdmcp-dev,1.1.4-r0,2022-11-19
edge,openldap-overlay-memberof,2.6.4-r1,2023-04-04
edge,libucontext-doc,1.2-r0,2022-02-13
edge,subversion-tools,1.14.2-r7,2023-02-07
edge,cython-doc,0.29.34-r0,2023-04-02
edge,perl-convert-uulib-doc,1.8-r0,2022-10-11
edge,rsyslog-openrc,8.2302.0-r1,2023-03-06
edge,ruby-net-pop,0.1.1-r0,2022-04-04
edge,kamailio-python3,5.6.3-r2,2023-02-10
edge,ivykis-dev,0.42.4-r3,2023-02-11
edge,lua5.3-dbg,5.3.6-r4,2022-08-06
edge,perl-email-address-doc,1.913-r0,2023-01-11
edge,linux-firmware-qcom,20230404-r0,2023-04-05
edge,subunit-libs,1.4.2-r2,2023-04-11
edge,ldoc,1.4.6-r4,2022-07-26
edge,uwsgi-stats_pusher_statsd,2.0.21-r1,2022-11-22
edge,ruby-dev,3.1.4-r0,2023-03-31
edge,fail2ban-doc,1.0.2-r1,2022-11-22
edge,shorewall-openrc,5.2.8-r1,2021-09-05
edge,nagios-plugins-swap,2.4.2-r0,2022-11-09
edge,perl-test-deep,1.204-r0,2023-01-09
edge,valgrind-yash-completion,2.54-r0,2023-03-08
edge,botan-dev,2.19.3-r1,2022-12-21
edge,kamailio-xml,5.6.3-r2,2023-02-10
edge,perl-io-tty,1.17-r0,2022-11-12
edge,lua5.2-md5,1.3-r1,2021-01-14
edge,devicemaster-linux-openrc,7.34-r2,2022-10-24
edge,perl-extutils-installpaths,0.012-r3,2022-12-31
edge,perl-crypt-des,2.07-r10,2022-06-08
edge,apparmor-vim,3.1.3-r0,2023-03-01
edge,libpng-doc,1.6.39-r2,2022-11-29
edge,zip,3.0-r10,2022-10-24
edge,nagios-plugins-ifstatus,2.4.2-r0,2022-11-09
edge,dconf-dev,0.40.0-r2,2022-10-12
edge,perl-ipc-system-simple,1.30-r2,2021-05-12
edge,perl-convert-asn1,0.33-r0,2021-09-23
edge,git-cvs,2.40.0-r0,2023-03-13
edge,tftp-hpa-openrc,5.2-r6,2023-02-17
edge,squid-lang-he,5.7-r0,2022-10-14
edge,skalibs-doc,2.13.1.1-r0,2023-04-02
edge,grub,2.06-r10,2023-03-24
edge,perl-html-parser,3.81-r0,2023-02-01
edge,libpcap-doc,1.10.4-r0,2023-04-08
edge,perl-module-pluggable,5.2-r3,2022-12-31
edge,git-yash-completion,2.54-r0,2023-03-08
edge,bats-doc,1.9.0-r0,2023-02-12
edge,lua5.2-rex-posix,2.9.1-r2,2023-01-09
edge,perl-http-daemon,6.16-r0,2023-02-25
edge,dosfstools,4.2-r1,2021-11-17
edge,nftables-doc,1.0.7-r0,2023-03-14
edge,libdaemon-doc,0.14-r3,2022-01-25
edge,sqsh-doc,2.5.16.1-r5,2022-10-24
edge,s6-ipcserver,2.11.3.2-r0,2023-04-02
edge,elinks-lang,0.16.0-r1,2023-04-03
edge,perl-test-warn,0.37-r1,2022-12-31
edge,perl-text-soundex-doc,3.05-r7,2022-12-31
edge,lua5.2-cqueues,20200726-r4,2022-08-02
edge,perl-file-which,1.27-r0,2021-05-17
edge,perl-php-serialization,0.34-r3,2020-09-21
edge,p7zip-doc,17.05-r1,2023-02-20
edge,ppp-passprompt,2.5.0-r1,2023-04-06
edge,perl-pod-parser,1.65-r0,2022-06-23
edge,tcl-tls,1.7.22-r3,2022-08-02
edge,testdisk,7.1-r2,2022-10-24
edge,libidn2,2.3.4-r0,2022-10-24
edge,htop,3.2.2-r0,2023-02-05
edge,unbound-doc,1.17.1-r0,2023-01-21
edge,lua5.1-dbi-sqlite3,0.7.2-r1,2021-01-14
edge,libatk-bridge-2.0,2.48.0-r0,2023-03-21
edge,libformw,6.4_p20230401-r2,2023-04-09
edge,dpkg,1.21.21-r0,2023-02-27
edge,binutils-gold,2.40-r3,2023-03-04
edge,py3-hypothesis,6.71.0-r0,2023-04-09
edge,clang16-dev,16.0.1-r0,2023-04-05
edge,musl-libintl,1.2.3_git20230322-r0,2023-04-11
edge,linux-firmware-vicam,20230404-r0,2023-04-05
edge,devicemaster-linux-doc,7.34-r2,2022-10-24
edge,acf-openssl,0.10.1-r6,2021-02-06
edge,libxaw-doc,1.0.15-r0,2023-03-16
edge,unbound-libs,1.17.1-r0,2023-01-21
edge,libwebp-static,1.3.0-r0,2023-01-14
edge,open-iscsi-doc,2.1.8-r1,2023-02-03
edge,unifont-tools,15.0.01-r2,2023-04-06
edge,openssh-sftp-server,9.3_p1-r1,2023-03-22
edge,xen-doc,4.17.0-r2,2023-02-21
edge,bacula-mysql,13.0.2-r0,2023-03-24
edge,openldap-overlay-refint,2.6.4-r1,2023-04-04
edge,perl-file-rsync-doc,0.76-r2,2022-06-08
edge,dmidecode-doc,3.5-r0,2023-03-15
edge,perl-test-harness-doc,3.44-r1,2022-12-31
edge,perl-git,2.40.0-r0,2023-03-13
edge,uwsgi-ping,2.0.21-r1,2022-11-22
edge,libks-dev,1.8.2-r0,2023-03-09
edge,rrdtool-dev,1.8.0-r0,2023-01-15
edge,gummiboot,48.1-r2,2021-11-10
edge,iso-codes,4.13.0-r0,2023-03-01
edge,subversion-doc,1.14.2-r7,2023-02-07
edge,perl-test-simple,1.302194-r0,2023-03-16
edge,varnish-libs,7.3.0-r0,2023-03-16
edge,openldap-overlay-ppolicy,2.6.4-r1,2023-04-04
edge,syslinux-doc,6.04_pre1-r12,2023-03-24
edge,ttf-liberation,2.1.5-r2,2022-06-07
edge,eudev-openrc,3.2.11-r7,2023-01-24
edge,libtheora,1.1.1-r16,2020-12-28
edge,openssh-client-common,9.3_p1-r1,2023-03-22
edge,perl-git-svn,2.40.0-r0,2023-03-13
edge,git-prompt,2.40.0-r0,2023-03-13
edge,linux-pam-doc,1.5.2-r9,2023-03-31
edge,musl-nscd,1.1.1-r2,2023-01-05
edge,e2fsprogs-extra,1.47.0-r0,2023-02-07
edge,mesa,23.0.2-r1,2023-04-09
edge,py3-requests,2.28.2-r0,2023-01-14
edge,perl-heap-doc,0.80-r5,2022-12-31
edge,uwsgi-msgpack,2.0.21-r1,2022-11-22
edge,nginx-mod-http-naxsi,1.22.1-r0,2022-10-19
edge,lua5.4-struct,0.2-r3,2021-01-14
edge,shorewall-core,5.2.8-r1,2022-10-24
edge,dbus-dev,1.14.6-r1,2023-02-18
edge,unionfs-fuse,3.2-r0,2022-07-19
edge,kbd-doc,2.5.1-r6,2023-02-16
edge,libffi,3.4.4-r1,2023-03-25
edge,librrd,1.8.0-r0,2023-01-15
edge,perl-net-rblclient-doc,0.5-r6,2022-10-24
edge,libapparmor-dev,3.1.3-r0,2023-03-01
edge,acf-openssh,0.11.2-r2,2021-02-06
edge,kea-admin,2.2.0-r8,2023-03-12
edge,apcupsd-openrc,3.14.14-r5,2023-03-27
edge,perl-javascript-minifier-xs-doc,0.15-r1,2022-06-08
edge,s6-linux-utils-doc,2.6.1.2-r0,2023-02-23
edge,perl-type-tiny-doc,2.002001-r0,2023-01-23
edge,font-cantarell,0.303.1-r1,2022-10-08
edge,mbedtls-dev,2.28.3-r0,2023-03-30
edge,xorriso,1.5.4-r2,2021-10-16
edge,libmaxminddb-libs,1.7.1-r0,2022-10-01
edge,libasr-dev,1.0.4-r3,2022-08-02
edge,igmpproxy-doc,0.4-r0,2022-12-28
edge,libsodium-static,1.0.18-r2,2022-08-06
edge,nginx-mod-http-encrypted-session,1.22.1-r0,2022-10-19
edge,perl-proc-wait3,0.05-r8,2022-12-31
edge,asterisk-pgsql,18.15.1-r0,2023-03-16
edge,device-mapper-udev,2.03.20-r2,2023-03-23
edge,perl-module-build-tiny-doc,0.039-r3,2022-12-31
edge,perl-probe-perl,0.03-r3,2022-12-31
edge,font-bh-75dpi,1.0.4-r0,2023-02-28
edge,cjson-dev,1.7.15-r3,2022-01-15
edge,sshfs,3.7.3-r0,2022-05-27
edge,libucontext0,0.13.1-r0,2021-01-11
edge,linux-firmware-netronome,20230404-r0,2023-04-05
edge,boost1.81-python3,1.81.0-r1,2022-12-23
edge,lua5.4-ossl,20220711-r0,2022-10-19
edge,gc-doc,8.2.2-r1,2023-02-04
edge,perl-test-taint,1.08-r6,2022-12-31
edge,libmaxminddb-doc,1.7.1-r0,2022-10-01
edge,nagios-plugins-ping,2.4.2-r0,2022-11-09
edge,freeswitch-python3,1.10.8-r4,2023-02-11
edge,p11-kit-doc,0.24.1-r1,2022-10-12
edge,git-doc,2.40.0-r0,2023-03-13
edge,fortify-headers,1.1-r3,2023-01-31
edge,mariadb-connector-c,3.3.4-r0,2023-02-09
edge,sqsh,2.5.16.1-r5,2022-10-24
edge,openldap-back-passwd,2.6.4-r1,2023-04-04
edge,ppp-daemon,2.5.0-r1,2023-04-06
edge,gdl-doc,3.40.0-r1,2023-02-04
edge,aspell,0.60.8-r4,2023-01-14
edge,rhash,1.4.3-r1,2022-08-02
